Model, Task category, pre-trained, Accuracy on AIHUB, Precision, Recall, ROC Area Under Curve, Best distance threshold, TAR, FAR
FaceNet, Family, False, 0.6778+-0.0194, 0.7411+-0.0221, 0.5463+-0.0318,0.7163, 0.04+-0.00,0.0873+-0.0193, 0.0013
FaceNet, Age, False, 0.5408+-0.0151, 0.5898+-0.0321, 0.2677+-0.0251,0.5479, 0.04+-0.00,0.0040+-0.0049, 0.0010
FaceNet, Individuals, False, 0.5213+-0.0144, 0.5412+-0.0293, 0.3063+-0.1045,0.5357, 0.05+-0.00,0.0110+-0.0050, 0.0010
FaceNet, Family, True, 0.8465+-0.0098, 0.8475+-0.0252, 0.8470+-0.0242,0.9300, 0.53+-0.01,0.1067+-0.0176, 0.0010
FaceNet, Age, True, 0.6150+-0.0212, 0.6212+-0.0175, 0.5897+-0.0608,0.6671, 0.67+-0.01,0.0053+-0.0054, 0.0013
FaceNet, Individuals, True, 0.6910+-0.0237, 0.7183+-0.0339, 0.6310+-0.0296,0.7607, 0.63+-0.00,0.0150+-0.0040, 0.0010
ArcFace, Family, True, 0.8497+-0.0077, 0.8386+-0.0096, 0.8663+-0.0218,0.8125, 20.05+-0.22,0.1583+-0.0133, 0.0010
ArcFace, Age, True, 0.5838+-0.0169, 0.5729+-0.0148, 0.6583+-0.0250,0.5077, 23.82+-0.07,0.0020+-0.0022, 0.0010
ArcFace, Individuals, True, 0.5377+-0.0147, 0.5616+-0.0219, 0.3410+-0.0453,0.5473, 11.53+-0.24,0.0037+-0.0028, 0.0010
